OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2014;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;172,00;12;1,000000;0,00;0;0,000000
GrDF;2014;G;Region;11;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;25495,00;739;NA;0,00;0;0,000000
GrDF;2014;G;Region;24;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;4738,00;181;NA;0,00;0;0,000000
GrDF;2014;G;Region;27;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7745,00;230;NA;0,00;0;0,000000
GrDF;2014;G;Region;28;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;9104,00;295;NA;0,00;0;0,000000
GrDF;2014;G;Region;32;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;9726,00;438;NA;0,00;0;0,000000
GrDF;2014;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;7390,00;225;NA;0,00;0;0,000000
GrDF;2014;G;Region;52;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;8338,00;259;NA;0,00;0;0,000000
GrDF;2014;G;Region;53;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;4945,00;184;NA;0,00;0;0,000000
GrDF;2014;G;Region;75;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;8098,00;352;NA;0,00;0;0,000000
GrDF;2014;G;Region;76;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;8176,00;382;NA;0,00;0;0,000000
GrDF;2014;G;Region;84;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;17891,00;492;NA;0,00;0;0,000000
GrDF;2014;G;Region;93;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;9085,00;312;NA;0,00;0;0,000000
Régie municipale multiservices de La Réole;2014;G;Region;75;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;1594,93;107;1,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;012020101;0,00;0;0,000000;291542,20;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;012890102;0,00;0;0,000000;47209,16;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;012940000;0,00;0;0,000000;11760,64;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;013050000;0,00;0;0,000000;41031,55;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;013760000;0,00;0;0,000000;147144,70;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;014510101;0,00;0;0,000000;46935,41;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;020950000;0,00;0;0,000000;15533,49;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;021030000;0,00;0;0,000000;93674,18;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;021310000;0,00;0;0,000000;459696,60;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;021680301;0,00;0;0,000000;146420,70;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;023870000;0,00;0;0,000000;68984,02;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;025140000;0,00;0;0,000000;173549,20;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;025550000;0,00;0;0,000000;49917,17;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;025750000;0,00;0;0,000000;1347026,00;2;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;026190000;0,00;0;0,000000;7109,61;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;026800000;0,00;0;0,000000;5977,24;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;027410000;0,00;0;0,000000;297,79;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;027460000;0,00;0;0,000000;1487,02;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
GRT Gaz;2014;G;IRIS;027690000;0,00;0;0,000000;4723,40;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000
