OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
REGAZ Bordeaux;2017;G;Region;75;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;508,98;30;1,000000;;;0,00;0;0,000000
Réseau GDS;2017;G;Region;44;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;244,52;18;1,000000;;;0,00;0;0,000000
GrDF;2017;G;Region;11;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;11273,00;596;0,000000;0,00;0,00;10670,00;122;0,000000
GrDF;2017;G;InterCom;200000172;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200000438;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;InterCom;200000487;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;InterCom;200000545;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200000933;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200005932;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200006070;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;InterCom;200006682;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200006716;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200006872;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200006971;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;InterCom;200010650;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200010700;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;147,00;12;0,000000;0,00;0,00;-99,00;-99;-99,0000
GrDF;2017;G;InterCom;200011773;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;-99,00;-99;-99,0000
