DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;
75;11;2011;0;107727;21520,39658;52088,31584;34118,02264;192520;41789;21223;0;;;
77;11;2011;0;178348,1;92651,30958;48342,03072;37354,87321;720198;124227;17655;0;;;
78;11;2011;0;203688,7;75613,82382;78728,99084;49345,77815;549276;88297;1116;0;;;
91;11;2011;0;173554,4;72149,48126;63371,52171;38034,03541;571482;85525;202;0;;;
92;11;2011;0;127701,8;16218,47824;72672,9945;38809,95575;276903;143611;3415;0;;;
93;11;2011;0;117164,2;31610,30274;55192,05436;30361,82927;381225;54331;1782;0;;;
94;11;2011;0;127193,4;35298,48136;59851,10802;32043,27592;379873;124662;8824;0;;;
95;11;2011;0;135933,6;45391,88224;56753,24929;33788,68863;458170;70279;2105;0;;;
99;11;2011;0;1171311;390454,1558;487000,2653;293856,459;3529647;732721;56322;0;87941;;
18;24;2011;0;40412,14;24055,18;8074,14;8282,82;213453;71660;201;0;;;
28;24;2011;0;60327,02;29809,42;16994,1;13523,5;307401;80719;3215;0;;;
36;24;2011;0;27884,68;17608,90726;4484,481972;5790,879124;150452;57068;762;0;;;
37;24;2011;0;79634,36;50503,44674;13803,79942;15326,60472;350842;102984;3060;0;;;
41;24;2011;0;45342,76;27471,76;8959,18;8911,82;203803;61370;1189;0;;;
45;24;2011;0;89425,3;46924,14;24328,98;18172,18;412589;367147;26190;0;;;
99;24;2011;0;343026,3;196372,854;76644,68139;70007,80384;1638540;740948;34617;0;113873;;
21;27;2011;0;76003,18;50085,42;11819,28;14098,48;364263;105215;5276;0;;;
25;27;2011;0;60998,2;47217,18;4812,96;8968,06;329604;143219;6630;0;;;
39;27;2011;0;33671,48;24788,71092;2852,886668;6030,559002;185232;62794;2132;0;;;
58;27;2011;0;30291,9;21646,48;2290,3;6355,12;116512;67709;1161;0;;;
70;27;2011;0;24875,1;20230,52478;760,128;3884,28442;147986;57211;4501;0;;;
71;27;2011;0;82472,26;55135,92;12261,06;15075,28;412089;97739;26343;0;;;
89;27;2011;0;53752,86;31449,26;10100,26;12203,34;253067;64997;1274;0;;;
90;27;2011;0;14014,12;10219,4;1931,4;1863,32;55930;17233;784;0;;;
99;27;2011;0;376079,1;260772,8957;46828,27467;68478,44342;1864683;616117;48101;0;119790;;
14;28;2011;0;94971,6;67737,38;8977,68;18256,54;463640;178422;6067;0;;;
27;28;2011;0;71879,16;48376,76;8615,82;14886,58;348321;77566;11224;0;;;
50;28;2011;0;61135,1;46559,32;4440,74;10135,04;319080;125659;19875;0;;;
61;28;2011;0;30251,94;21853,68;2789,06;5609,2;174932;83918;5167;0;;;
76;28;2011;0;143987,7;88464,04;24095,14;31428,54;706431;187762;29357;0;;;
99;28;2011;0;402225,5;272991,18;48918,44;80315,9;2012404;653327;71690;0;138929;;
2;32;2011;0;54984,22;34072,56;8074,88;12836,78;314369;105203;13548;0;;;
59;32;2011;0;214030,2;105312,36;52152,98;56564,86;997134;553671;94282;0;;;
60;32;2011;0;88572,08;50032,14;19820,16;18719,78;418980;102547;15476;0;;;
62;32;2011;0;136107,5;69992,16;27945,36;38169,94;900370;175230;25833;0;;;
80;32;2011;0;62224,38;36905,28;10268,98;15050,12;348458;107389;38188;0;;;
99;32;2011;0;555918,3;296314,5;118262,36;141341,48;2979311;1044040;187327;0;154600;;
8;44;2011;0;23792,48;15648,04;2922,26;5222,18;125760;44335;2622;0;;;
10;44;2011;0;36486,44;19554,5;8644,68;8287,26;205949;58468;152;0;;;
51;44;2011;0;64454,74;35913,53262;15514,72245;13026,46759;429948;185216;70836;0;;;
52;44;2011;0;26704,38;18960,94555;2924,791283;4819,090782;166039;44586;4923;0;;;
54;44;2011;0;65710,52;43109,44;10582;12019,08;357934;483460;2433;0;;;
55;44;2011;0;17461,04;13019,56;849,52;3591,96;99060;41340;6661;0;;;
57;44;2011;0;98531,74;68851,82;11374,54;18305,38;450589;182128;10572;0;;;
67;44;2011;0;143500,1;100135,32;14558,02;28806,72;606440;237604;3921;0;;;
68;44;2011;0;95733,8;71360,42;8052,68;16320,7;417577;135497;11724;0;;;
88;44;2011;0;44351,9;32282,5;3845,78;8223,62;237080;61591;11460;0;;;
99;44;2011;0;616727,1;418836,0782;79268,99373;118622,4584;3096376;1474225;125304;0;150919;;
