DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2012;0;98027,06;14162,86;51676,42;32187,78;172171;6163;28322;75485;;
77;11;2012;0;170012;78515,48;56496,04;35000,52;729111;87707;14513;31385;;
78;11;2012;0;191061,3;67208,28;79428,64;44424,42;595009;70939;730;13211;;
91;11;2012;0;166301,7;65339,04;66580,76;34381,88;570225;62046;216;17371;;
92;11;2012;0;120880,5;12694,7;71181,34;37004,44;276675;125605;27400;25582;;
93;11;2012;0;108930,2;28222,12;54407,76;26300,34;376189;27654;1457;12161;;
94;11;2012;0;120866,4;30120,96;61106,24;29639,22;415429;108713;6229;26843;;
95;11;2012;0;126945,5;40975,28;55670,2;30300,04;458782;58833;1964;29876;;
99;11;2012;0;1103025;337238,72;496547,4;269238,64;3593591;547660;80831;231914;87582;
18;24;2012;0;38167,72;22356,88;8791,94;7018,9;193861;45957;104;22308;;
28;24;2012;0;57976,78;27174,28;18818,94;11983,56;301216;52413;2989;26491;;
36;24;2012;0;27166,88;16980,78;5180;5006,1;144162;29304;75;19828;;
37;24;2012;0;75204,72;45971,76;15440,84;13792,12;340821;64095;2589;41771;;
41;24;2012;0;43484,62;25237,7;10314,12;7932,8;201698;39164;1262;19676;;
45;24;2012;0;84492,46;35732,38;30708,52;18051,56;431880;270637;20684;146778;;
99;24;2012;0;326493,2;173453,78;89254,36;63785,04;1613638;501570;27703;276852;119657;
21;27;2012;0;70954,9;38790,06;19428,7;12736,14;360580;70323;4020;39280;;
25;27;2012;0;59794,96;43635,58;7925,4;8233,98;321160;116275;7620;33087;;
39;27;2012;0;32052,36;23002,9;3870,2;5179,26;185924;47290;1983;13492;;
58;27;2012;0;28219,9;19565,6;3311,5;5342,8;112240;37234;1110;23012;;
70;27;2012;0;23522,38;18650,22;1699,78;3172,38;143103;41055;3730;15283;;
71;27;2012;0;78309,76;47895,02;17207,96;13206,78;417738;70361;24267;31543;;
89;27;2012;0;49600,72;27767,02;11201,38;10632,32;246449;37516;913;22726;;
90;27;2012;0;13823,94;8692,78;3610,46;1520,7;58004;15077;471;2842;;
99;27;2012;0;356278,9;227999,18;68255,38;60024,36;1845198;435131;44114;181265;123163;
14;28;2012;0;88682,34;58877,36;14250,92;15554,06;451664;117379;5126;83717;;
27;28;2012;0;67514,64;40435,82;13416,94;13661,88;350375;50064;7878;13886;;
50;28;2012;0;56823,86;42305,8;6141,26;8376,8;315466;59347;19765;57298;;
61;28;2012;0;27710,04;18119,64;4639,8;4950,6;169147;48723;5358;32383;;
76;28;2012;0;135952,8;78594,66;29471,98;27886,16;715664;118203;28178;69861;;
99;28;2012;0;376683,7;238333,28;67920,9;70429,5;2002316;393716;66305;257145;139304;
2;32;2012;0;51407,06;30413,26;10002,58;10991,22;312719;66068;9196;27848;;
59;32;2012;0;202956,8;94461,74;59014,26;49480,84;1048703;355469;33804;217048;;
60;32;2012;0;83850,14;44298,62;23357,36;16194,16;425974;64840;16911;39008;;
62;32;2012;0;127900,1;64464,36;30812,86;32622,9;944018;94145;16326;77041;;
80;32;2012;0;58296,46;34195,4;11199,16;12901,9;348384;67994;36672;44961;;
99;32;2012;0;524410,6;267833,38;134386,22;122191,02;3079798;648516;112909;405906;147899;
8;44;2012;0;22829;14712,68;3540,9;4575,42;129442;32796;654;11518;;
10;44;2012;0;36882,34;19233,34;10077,32;7571,68;210005;31128;78;29054;;
51;44;2012;0;60137,58;29872,32;18767,14;11498,12;422690;99462;57956;90681;;
52;44;2012;0;24761,14;14576,52;5790,5;4394,12;158430;28803;2560;17035;;
54;44;2012;0;61015,96;31549,16;17967,2;11499,6;348965;331281;7199;220060;;
55;44;2012;0;16294,06;11040,06;2216,3;3037,7;106387;26806;5947;13591;;
57;44;2012;0;93364,32;56689,18;21016;15659,14;470029;131185;18316;51938;;
67;44;2012;0;134894,6;90856,46;18560,68;25477,46;598775;194374;5393;45705;;
68;44;2012;0;92086,34;63566,74;13929,76;14589,84;420363;110173;8691;25315;;
88;44;2012;0;41554,7;28942,14;5686,16;6926,4;233861;49551;8675;17461;;
99;44;2012;0;583820;361038,6;117551,96;105229,48;3098947;1035559;115469;522358;148972;
44;52;2012;0;161837,3;102228,78;34950,2;24658,28;735035;287510;13420;233307;;
49;52;2012;0;79216,26;56645,52;9574,86;12995,88;435197;47098;12507;28175;;
53;52;2012;0;28315,36;20455,08;2953,34;4906,94;207285;25714;13246;25997;;
72;52;2012;0;71943,54;44704,14;13724,04;13515,36;365326;42389;2306;16836;;
85;52;2012;0;96178,54;69108,6;12094,56;14975,38;546315;96414;3671;83260;;
99;52;2012;0;437491;293142,12;73297;71051,84;2289158;499125;45150;387575;180753;
22;53;2012;0;66227,04;49754,64;6430,6;10041,8;366999;58750;10147;45749;;
29;53;2012;0;100753,2;74416,62;11172,52;15164,08;498874;125876;8887;28501;;
35;53;2012;0;111767,4;61002,64;29477,16;21287,58;636271;254795;10046;176990;;
56;53;2012;0;85489,24;63361,76;10064,74;12062,74;443181;58322;9069;32433;;
99;53;2012;0;364236,9;248535,66;57145,02;58556,2;1945325;497743;38149;283673;175182;
16;75;2012;0;45583,26;32676,92;4995,74;7910,6;294338;37309;19533;33328;;
17;75;2012;0;90505,7;49138,96;21733,06;19633,68;442073;57083;8620;32598;;
19;75;2012;0;31475,16;21369,72;5126,72;4978,72;167594;35109;2888;15453;;
23;75;2012;0;12858,98;9876,78;922,78;2059,42;70267;26776;638;13028;;
24;75;2012;0;44820,32;34175,42;4442,96;6201,94;222377;55975;851;24302;;
33;75;2012;0;185318,9;105515,12;48682,38;31121,44;827798;78159;11752;65223;;
40;75;2012;0;50038,8;37800,68;5516,7;6721,42;264313;27382;18488;36217;;
47;75;2012;0;34883,6;25265,08;3098,38;6520,14;230781;313422;1295;191441;;
64;75;2012;0;67741,08;44271,98;13744,02;9725,08;287474;29436;1244;27279;;
79;75;2012;0;41822,58;29801,28;5763,86;6257,44;295028;56307;22789;35475;;
86;75;2012;0;50704,8;36643,32;5709,84;8351,64;282657;67681;3847;44888;;
87;75;2012;0;46412,06;34011,88;5907,42;6492,76;202729;43272;2364;22811;;
99;75;2012;0;702165,3;460547,14;125643,86;115974,28;3587429;827911;94309;542043;327249;
9;76;2012;0;15234,38;12323,22;1146,26;1764,9;72192;7505;1756;3556;;
11;76;2012;0;43916,04;31900,66;6065,04;5950,34;262078;19203;1620;13407;;
12;76;2012;0;25898,52;19433,14;3134,64;3330,74;149614;30663;1545;18680;;
30;76;2012;0;86477,14;57496,52;17375,2;11605,42;370033;57605;1776;22463;;
31;76;2012;0;144140,9;81622,74;43830,94;18687,22;664198;40022;1892;32933;;
32;76;2012;0;18716,08;15413,46;1004,18;2298,44;109351;19499;1083;23957;;
34;76;2012;0;145799,2;87991,18;36082,4;21725,66;675333;146804;3720;91211;;
46;76;2012;0;23021,4;16445,02;3190,88;3385,5;107581;18047;7860;7453;;
48;76;2012;0;9722,12;5548,52;2692,86;1480,74;53661;27749;1830;6131;;
65;76;2012;0;25215,5;19094,22;2362,82;3758,46;117988;15450;877;10906;;
66;76;2012;0;54643,08;42567,76;5331,7;6743,62;236859;23800;1546;13574;;
81;76;2012;0;38938,06;30476,9;4343,06;4118,1;190948;31065;7155;16526;;
82;76;2012;0;24565,78;17351,52;3725,9;3488,36;166702;21226;152;13550;;
99;76;2012;0;656288,2;437664,86;130285,88;88337,5;3176538;458638;32812;274347;216081;
1;84;2012;0;75744,18;52460,08;12648,82;10635,28;383875;74626;21946;29371;;
3;84;2012;0;42066,78;30179,42;5163,72;6723,64;218909;54121;2057;32035;;
7;84;2012;0;34108,82;26620,02;2590;4898,8;135488;25861;8799;3966;;
15;84;2012;0;14978,34;12002,06;1218,78;1757,5;79300;26803;10112;13251;;
26;84;2012;0;74550,56;41896,58;20677,82;11976,16;441699;68655;4497;27789;;
38;84;2012;0;139410,1;83557,84;34754,1;21098,14;632138;92228;17040;28089;;
42;84;2012;0;76560,4;47645,64;16416,16;12498,6;398606;276595;16312;88519;;
43;84;2012;0;22473,06;15905,56;3608,24;2959,26;124592;45822;3095;16167;;
63;84;2012;0;79999,92;45114,84;19943,74;14941,34;370854;77505;13549;33645;;
69;84;2012;0;185009,6;86195,2;68799,28;30015,14;920714;373574;23706;128754;;
73;84;2012;0;58429,66;38674,62;11125,16;8629,88;354784;61371;24729;17452;;
74;84;2012;0;104079,5;70375,48;18263,94;15440,1;441164;94467;3331;23155;;
99;84;2012;0;907410,9;550627,34;215209,76;141573,84;4502123;1271628;149173;442193;265531;
4;93;2012;0;23463,18;14775,58;4701,96;3985,64;98614;23151;667;7249;;
5;93;2012;0;19627,76;11817,06;4535,46;3275,24;88131;34417;720;7346;;
6;93;2012;0;191412,8;71378,18;77834,68;42199,98;459314;94726;2546;22071;;
13;93;2012;0;244204,4;126468,22;82205,86;35530,36;1065453;170326;194938;74288;;
83;93;2012;0;172044,1;92209,92;50747,72;29086,44;551416;72016;2274;22990;;
84;93;2012;0;79649,16;44348,94;23753,26;11546,96;376099;67351;6173;21239;;
99;93;2012;0;730401,5;360997,9;243778,94;125624,62;2639027;461987;207318;155183;130086;
2A;94;2012;0;26168,62;26168,62;0;0;66382;10017;0;5680;;
2B;94;2012;0;32821,22;32821,22;0;0;103605;43031;336;6215;;
99;94;2012;0;58989,84;58989,84;0;0;169987;53048;336;11895;31531;
99;99;2012;;;;;;;;;;12496;
FR;FR;2012;0;7127695;4016401,8;1819276,68;1292016,32;33543075;7632232;1014578;3972349;2105486;6312989,6
