DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;
75;11;2017;78596;8885;38414;30349;947;140111;16445;0;6926;917;;
77;11;2017;183332;58242;72749;49169;3172;736683;76188;1302;53966;23008;;
78;11;2017;197293;47104;91179;56839;2170;544411;65819;298;17244;13554;;
91;11;2017;173840;45090;81469;45723;1557;569739;46617;572;16643;9608;;
92;11;2017;115508;6417;70791;37404;895;279549;118252;3927;49080;2318;;
93;11;2017;102423;17558;57140;27254;471;383933;30453;0;54662;6671;;
94;11;2017;119500;20284;64476;33856;884;438674;78732;0;27163;4208;;
95;11;2017;156700;24623;85079;45007;1992;581121;74778;0;49161;10080;;
99;11;2017;1127193;228203;561297;325601;12090;3674221;507284;6099;274845;70364;;
18;24;2017;37167;15881;12725;8318;242;201089;38694;27;26284;12574;;
28;24;2017;59303;18568;24056;16111;568;301412;51888;734;40252;17877;;
36;24;2017;27224;11108;9215;6765;136;154239;29799;0;27192;9726;;
37;24;2017;78503;31163;27804;18868;667;332016;57343;640;47927;18068;;
41;24;2017;46487;19208;16190;10325;764;219040;41854;1123;29507;17936;;
45;24;2017;86830;23174;39307;23145;1203;440511;131673;12529;83435;24361;;
99;24;2017;335513;119102;129297;83532;3580;1648308;351251;15053;254597;100542;;
21;27;2017;76143; 22 973 ;33453;18557;1160;363351;74488;2260;58371;12487;;
25;27;2017;71755; 40 301 ;17766;13281;407;342389;106507;1126;33862;22531;;
39;27;2017;36451; 17 636 ;11685;6836;294;191970;51601;1464;17790;13706;;
58;27;2017;27734; 14 249 ;7442;6019;24;118758;30174;1013;28229;8750;;
70;27;2017;24148; 14 387 ;5673;3990;98;152380;42536;2548;22024;14400;;
71;27;2017;80028; 35 242 ;27574;16592;620;427896;78076;10955;50609;15021;;
89;27;2017;49888; 21 079 ;15761;12724;325;249072;45275;430;31552;14787;;
90;27;2017;16173; 6 840 ;6542;2714;77;59392;14284;556;5393;3556;;
99;27;2017;382320; 172 707 ;125896;80713;3005;1905207;442941;20352;247830;105238;;
14;28;2017;95335;41828;31159;21454;895;431600;84248;3965;77403;25771;;
27;28;2017;72142;23520;26928;20580;1113;354950;66127;1762;44992;23364;;
50;28;2017;60079;32615;15410;11357;697;310674;75565;18028;64831;20412;;
61;28;2017;28098;14811;6779;6124;384;169404;50708;2188;36410;18044;;
76;28;2017;139515;49079;53301;35160;1975;693208;104330;18048;93891;27341;;
99;28;2017;395170;161853;133577;94675;5064;1959836;380978;43991;317527;114932;;
2;32;2017;52690;19927;18366;12816;1581;306881;68331;1148;49834;17611;;
59;32;2017;217956;54948;101428;55191;6389;1055707;197333;2493;163223;30894;;
60;32;2017;88779;32275;33965;21213;1325;442190;76114;11257;53115;23967;;
62;32;2017;138291;43366;53325;39040;2559;918324;104112;559;104501;26077;;
80;32;2017;60976;15433;27725;16510;1307;362111;76250;20667;62075;18676;;
99;32;2017;558691;165949;234809;144770;13163;3085213;522141;36124;432748;117225;;
8;44;2017;23688;10554;7557;5117;460;138256;38486;843;27138;8193;;
10;44;2017;35410;11949;13826;8887;748;201211;36358;50;46851;10640;;
51;44;2017;65042;20726;27430;15353;1534;442908;76189;4180;84640;14976;;
52;44;2017;25066;6875;12140;5739;312;166946;33172;650;25510;8688;;
54;44;2017;63522;21555;28519;13035;412;341039;81883;1123;72930;9962;;
55;44;2017;16517;8773;3845;3688;211;119183;31628;2322;27663;6735;;
57;44;2017;91257;31891;40658;17812;897;434000;138577;8337;56594;13064;;
67;44;2017;131795;48497;44429;37617;1253;542990;198692;1000;61371;22115;;
68;44;2017;98863;41876;34166;21976;844;413743;113062;7663;37834;13998;;
88;44;2017;42557;18001;14461;9964;131;231023;71706;1339;34808;13525;;
99;44;2017;593717;220697;227031;139188;6801;3031299;819751;27507;475340;121896;;
44;52;2017;175148;55742;77089;41030;1287;809175;152332;3255;173189;28495;;
49;52;2017;83174;24465;35386;22758;565;452152;62670;3616;54506;40754;;
53;52;2017;29817;12019;10897;6816;84;204334;34528;5881;47428;17468;;
72;52;2017;76389;32159;25214;18596;420;378180;72596;1269;46339;30453;;
85;52;2017;101716;49961;28690;22266;798;556286;93152;1033;96505;40881;;
99;52;2017;466243;174346;177276;111466;3155;2400126;415279;15054;417968;158051;;
22;53;2017;71483;30379;25115;15248;742;380879;68166;6321;60637;41681;;
29;53;2017;108768;59032;30724;18245;766;481169;155712;2300;70408;34555;;
35;53;2017;121942;35417;56437;28917;1171;658137;67531;4782;81660;31815;;
56;53;2017;94826;48432;28008;17908;479;462200;62686;4340;52996;43230;;
99;53;2017;397018;173260;140284;80318;3158;1982386;354096;17743;265702;151281;;
16;75;2017;43808;25157;8834;9249;569;292824;39207;10731;44337;20289;;
17;75;2017;103294;31117;41717;29528;933;469459;67876;2078;53172;37151;;
19;75;2017;33984;14959;11353;7467;205;171871;36942;1500;21714;11108;;
23;75;2017;17279;10959;2842;3410;68;83296;30601;644;19482;7265;;
24;75;2017;46502;27310;10445;8189;557;227948;70983;219;37256;24080;;
33;75;2017;207509;75641;81956;46038;3873;871462;66214;4672;82909;34105;;
40;75;2017;57052;30246;17213;9160;434;276156;21568;859;38817;30517;;
47;75;2017;38480;23004;8575;6436;465;255615;82326;444;63549;24464;;
64;75;2017;79223;38593;24876;14857;896;318056;29565;748;49693;23322;;
79;75;2017;43114;21031;13053;8573;457;283056;55740;13980;49894;25891;;
86;75;2017;50223;19094;18659;11890;580;275858;75258;2720;58875;24566;;
87;75;2017;45823;23561;13101;8828;332;206828;51101;1400;31392;12115;;
99;75;2017;766289;340672;252624;163625;9369;3732430;627381;39995;551092;274873;;
