DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;;
75;11;2018;78154;8760;39176;29090;1128;160818;14673;0;5264;1206;;;
77;11;2018;193858;53806;85404;49918;4731;714601;70027;2081;54113;22276;;;
78;11;2018;204706;40071;104589;56855;3191;522502;58325;179;19381;13056;;;
91;11;2018;180728;43930;89126;45313;2360;554448;41154;59;16408;9510;;;
92;11;2018;114463;5839;71463;36101;1061;257276;103261;2631;59815;2449;;;
93;11;2018;104074;17897;59036;26400;742;378553;26837;24;37494;6300;;;
94;11;2018;123877;20151;68843;33537;1346;382853;71292;0;27937;4555;;;
95;11;2018;143710;21649;80178;39132;2750;500009;63381;0;49537;9983;;;
99;11;2018;1143571;212103;597815;316344;17308;3471063;448949;4974;269949;69335;;;
18;24;2018;37913;14669;14546;8287;410;198079;35348;0;28606;11178;;;
28;24;2018;61244;16396;27158;16774;915;290419;47932;920;41211;17024;;;
36;24;2018;27485;10252;10236;6690;307;149562;27359;0;27007;8829;;;
37;24;2018;81645;28891;31860;19883;1010;322370;50725;644;45659;17372;;;
41;24;2018;47540;17469;18517;10440;1114;206362;37044;854;29637;16969;;;
45;24;2018;93820;20722;46216;24744;2139;450694;120223;565;78714;22562;;;
99;24;2018;349647;108400;148533;86818;5895;1617486;318630;2983;250833;93934;;;
21;27;2018;80379;22054;37289;19181;1855;349240;62925;2786;56516;11872;;;
25;27;2018;75753;38069;22199;14702;783;341844;92742;745;34187;21508;;;
39;27;2018;39923;18459;13696;7120;648;189335;45464;1339;17726;12533;;;
58;27;2018;27811;13352;8064;6066;329;112660;26073;1001;28092;8382;;;
70;27;2018;24669;10871;9002;4606;190;149469;38001;2567;21944;13314;;;
71;27;2018;82764;34115;31136;16614;899;414878;65697;6941;49412;14012;;;
89;27;2018;50096;19072;18353;12151;520;231726;40314;783;29992;13356;;;
90;27;2018;15176;5380;6926;2749;121;55569;12342;1103;4336;3417;;;
99;27;2018;396572;161371;146666;83191;5345;1844722;383560;17265;242204;98394;;;
14;28;2018;101120;41472;36590;21820;1238;424897;77922;3524;80395;24881;;;
27;28;2018;76182;23404;30081;20857;1840;352719;61227;2046;47011;23027;;;
50;28;2018;62248;30121;19043;12066;1018;301223;75127;14537;65454;20791;;;
61;28;2018;28397;15318;6601;5786;691;164783;48455;1817;36744;17509;;;
76;28;2018;145716;47618;59393;35751;2953;681450;96945;9412;102762;27249;;;
99;28;2018;413662;157934;151708;96280;7741;1925072;359676;31336;332365;113457;;;
2;32;2018;54558;17911;21616;12709;2323;297793;64179;2793;55641;16036;;;
59;32;2018;221809;47164;111881;53136;9628;981287;173326;3615;172933;30556;;;
60;32;2018;93319;32398;37740;21177;2005;438993;69168;227;52377;23518;;;
62;32;2018;147145;39974;63546;39525;4099;890062;98431;0;111088;25679;;;
80;32;2018;64777;12651;33462;16444;2221;352930;66231;3203;61179;18251;;;
99;32;2018;581608;150097;268245;142990;20276;2961066;471336;9838;453218;114040;;;
8;44;2018;23680;9617;8411;4975;677;128327;31548;125;24285;7079;;;
10;44;2018;37086;11340;15261;9464;1021;196069;31583;101;46444;9114;;;
51;44;2018;68989;19528;31558;15770;2133;429452;75427;7178;82808;14011;;;
52;44;2018;26235;6271;13697;5697;571;157250;28689;111;23432;7887;;;
54;44;2018;64880;17675;33069;13424;712;323685;75915;1509;71927;9259;;;
55;44;2018;16966;6281;6647;3753;286;140397;24429;2251;27184;6340;;;
57;44;2018;88271;24408;45458;17099;1306;374566;118423;7762;56731;12508;;;
67;44;2018;133587;38164;55230;38575;1618;485286;178501;2120;62589;20016;;;
68;44;2018;100018;36337;39934;22473;1274;365151;92398;5715;37857;13162;;;
88;44;2018;44463;16206;17094;10883;280;225931;61448;2152;35247;12827;;;
99;44;2018;604177;185827;266358;142114;9878;2826113;718362;29024;468505;112203;;;
44;52;2018;191705;52099;92601;44983;2023;828851;138337;3055;162575;28425;;;
49;52;2018;83758;22116;37631;23130;881;438614;58966;2549;56375;39432;;;
53;52;2018;30651;11869;11973;6603;206;200178;34364;5499;47842;17526;;;
72;52;2018;82174;32669;29428;19355;722;377762;58682;1074;42564;28666;;;
85;52;2018;99190;43116;32758;21922;1393;524464;88244;984;96394;39764;;;
99;52;2018;487477;161868;204391;115993;5225;2369869;378592;13161;405751;153813;;;
22;53;2018;73140;27311;29201;15575;1054;362847;65016;4751;58625;42358;;;
29;53;2018;113053;56870;36050;19000;1132;464361;153171;1751;68338;34874;;;
35;53;2018;129018;33798;63697;29763;1760;652851;64371;5748;85106;32258;;;
56;53;2018;99754;47187;33050;18718;798;451490;59246;5169;55844;42727;;;
99;53;2018;414965;165166;161998;83056;4745;1931549;341805;17419;267912;152217;;;
16;75;2018;45219;20575;13944;9790;910;279915;36593;8726;42457;19283;;;
17;75;2018;107339;30705;45737;29338;1559;456930;65389;1814;52796;35077;;;
19;75;2018;35381;14440;13162;7486;293;166994;34052;1003;21240;10694;;;
23;75;2018;28570;13442;8814;6206;108;93560;29397;861;20924;6809;;;
24;75;2018;48344;25985;12888;8508;962;222211;66124;126;37545;22936;;;
33;75;2018;219550;70847;95332;47429;5941;835730;57752;5625;88367;32733;;;
40;75;2018;60187;30659;19502;9186;840;266997;20498;772;45404;30890;;;
47;75;2018;39947;21641;10582;6826;899;252925;78564;185;63505;22423;;;
64;75;2018;79455;38237;25712;14176;1330;289840;30078;644;42961;23396;;;
79;75;2018;44474;20091;14820;8839;724;273618;50915;8821;47042;25165;;;
86;75;2018;52374;16525;22570;12322;957;267540;70001;3090;59473;22982;;;
87;75;2018;46821;21421;15622;9203;574;197086;46739;1131;30069;11859;;;
99;75;2018;807659;324569;298686;169308;15096;3603347;586101;32798;551784;264247;;;
9;76;2018;17085;10620;3883;2187;395;75054;12870;408;9259;7715;;;
11;76;2018;50076;16910;21775;9941;1450;251449;19979;0;26955;10559;;;
12;76;2018;28923;13429;9991;5030;472;162147;38480;282;28620;9565;;;
30;76;2018;92708;39080;36914;14285;2429;360631;49428;993;28895;16956;;;
31;76;2018;169916;54863;77197;33124;4733;654784;40512;0;40408;22478;;;
32;76;2018;19705;10975;5052;3228;450;101324;26945;49;34550;15622;;;
34;76;2018;162903;54964;72767;31321;3850;674169;101123;632;93042;17702;;;
46;76;2018;24987;12074;7606;4965;342;101571;25493;7495;11573;15177;;;
48;76;2018;10931;4532;3956;2227;216;50278;20331;598;7300;5690;;;
