DEP;REG;ANNEE;MOIS;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_95_E10;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;;;;;;;
FR;FR;2017;0; 7 559 156   ;2 785 976;2 942 539;1 739 126; 91 515   ; 34 118 913   ; 6 187 527   ; 343 806   ; 4 252 488   ; 1 768 588   ; 6 576 931   ;;;;;;;
FR;FR;2017;1; 516 331   ;197 700;204 431;108 507; 5 692   ; 2 636 174   ; 960 865   ; 32 258   ; 221 867   ; 231 724   ; 480 410   ;;;;;;;
FR;FR;2017;2; 508 764   ;193 596;198 891;110 187; 6 090   ; 2 538 306   ; 599 395   ; 26 706   ; 235 000   ; 193 874   ; 449 343   ;;;;;;;
FR;FR;2017;3; 619 058   ;236 650;236 099;138 601; 7 707   ; 2 968 027   ; 532 892   ; 29 582   ; 334 702   ; 179 124   ; 519 242   ;;;;;;;
FR;FR;2017;4; 629 613   ;237 370;238 098;146 750; 7 396   ; 2 724 001   ; 334 938   ; 24 272   ; 360 625   ; 119 674   ; 539 067   ;;;;;;;
FR;FR;2017;5; 680 707   ;256 870;256 046;159 830; 7 961   ; 2 980 554   ; 337 275   ; 25 947   ; 348 879   ; 117 587   ; 566 944   ;;;;;;;
FR;FR;2017;6; 678 437   ;254 368;253 756;162 336; 7 977   ; 2 948 687   ; 283 821   ; 23 788   ; 417 027   ; 91 970   ; 589 295   ;;;;;;;
FR;FR;2017;7; 701 227   ;253 404;273 832;166 009; 7 982   ; 2 970 367   ; 343 065   ; 24 381   ; 449 812   ; 89 010   ; 654 346   ;;;;;;;
FR;FR;2017;8; 716 664   ;260 623;276 731;170 848; 8 462   ; 2 887 325   ; 403 711   ; 22 327   ; 390 496   ; 100 579   ; 638 575   ;;;;;;;
FR;FR;2017;9; 683 669   ;251 555;263 472;160 747; 7 895   ; 2 990 854   ; 636 260   ; 28 895   ; 424 613   ; 117 238   ; 581 107   ;;;;;;;
FR;FR;2017;10; 608 773   ;216 741;241 231;142 651; 8 150   ; 2 833 118   ; 438 489   ; 37 586   ; 428 106   ; 158 933   ; 571 553   ;;;;;;;
FR;FR;2017;11; 583 671   ;206 971;237 447;131 460; 7 792   ; 2 797 461   ; 581 967   ; 35 547   ; 360 414   ; 168 957   ; 484 821   ;;;;;;;
FR;FR;2017;12; 632 241   ;220 129;262 505;141 200; 8 408   ; 2 844 040   ; 734 850   ; 32 517   ; 280 948   ; 199 913   ; 502 228   ;;;;;;;
