DEP;REG;ANNEE;MOIS;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR;;;;;
FR;FR;2018;0; 7 849 871   ; 2 584 113   ; 3 359 747   ; 1 764 491   ; 141 520   ; 32 934 260   ; 5 642 725   ; 260 516   ; 4 244 799   ; 1 706 757   ; 6 814 351   ;;;;;
FR;FR;2018;1; 536 918   ; 182 432   ; 230 472   ; 116 092   ; 7 922   ; 2 593 412   ; 593 692   ; 24 121   ; 198 124   ; 208 139   ; 499 833   ;;;;;
FR;FR;2018;2; 529 209   ; 181 969   ; 224 800   ; 114 433   ; 8 007   ; 2 541 720   ; 782 526   ; 25 939   ; 236 626   ; 190 687   ; 450 470   ;;;;;
FR;FR;2018;3; 625 197   ; 212 648   ; 263 310   ; 139 480   ; 9 759   ; 2 880 550   ; 660 850   ; 27 367   ; 306 186   ; 204 286   ; 518 158   ;;;;;
FR;FR;2018;4; 652 732   ; 221 168   ; 268 552   ; 153 328   ; 9 684   ; 2 727 175   ; 326 922   ; 23 721   ; 372 872   ; 142 709   ; 527 716   ;;;;;
FR;FR;2018;5; 697 296   ; 234 380   ; 287 170   ; 164 213   ; 11 533   ; 2 754 658   ; 241 396   ; 19 958   ; 376 353   ; 107 237   ; 583 858   ;;;;;
FR;FR;2018;6; 713 928   ; 239 590   ; 296 094   ; 166 647   ; 11 598   ; 2 882 164   ; 180 053   ; 18 286   ; 420 843   ; 92 373   ; 616 038   ;;;;;
FR;FR;2018;7; 752 877   ; 245 769   ; 319 237   ; 175 236   ; 12 634   ; 2 956 155   ; 232 751   ; 19 841   ; 503 060   ; 90 763   ; 677 111   ;;;;;
FR;FR;2018;8; 751 765   ; 247 727   ; 317 988   ; 172 433   ; 13 616   ; 2 721 136   ; 370 331   ; 15 381   ; 382 749   ; 93 975   ; 663 726   ;;;;;
FR;FR;2018;9; 647 052   ; 207 770   ; 277 025   ; 149 777   ; 12 481   ; 2 622 088   ; 532 729   ; 18 169   ; 403 533   ; 105 879   ; 614 724   ;;;;;
FR;FR;2018;10; 695 737   ; 223 940   ; 304 034   ; 152 897   ; 14 866   ; 2 949 868   ; 652 438   ; 25 600   ; 445 987   ; 148 619   ; 611 410   ;;;;;
FR;FR;2018;11; 637 754   ; 204 316   ; 285 103   ; 133 811   ; 14 525   ; 2 754 292   ; 515 946   ; 21 234   ; 355 521   ; 157 913   ; 517 845   ;;;;;
FR;FR;2018;12; 609 405   ; 182 404   ; 285 962   ; 126 145   ; 14 895   ; 2 551 043   ; 553 091   ; 20 899   ; 242 947   ; 164 177   ; 533 462   ;;;;;

