DEP;REG;ANNEE;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2019;  79163,42;   8440,292;  40498,720;  28434,722;  1789,6888;  115097,49;  12337,000;     0;   4008,919;   1058;
77;11;2019; 212211,71;  50950,776; 100427,472;  52173,996;  8659,4616;  704018,14;  66115,335;  1052;  42774,461;  21910;
78;11;2019; 217263,19;  37395,160; 117426,308;  57523,974;  4917,7448;  503465,17;  52432,250;    52;  20164,332;  12787;
91;11;2019; 188338,31;  39707,808;  98459,590;  46314,972;  3855,9440;  546639,60;  38602,135;  1396;  19499,922;   8512;
92;11;2019; 122192,82;   5564,060;  76909,162;  37998,038;  1721,5560;  246364,08;  81083,665;   914;  51132,895;   2413;
93;11;2019; 109340,29;  14755,452;  65264,448;  27805,944;  1514,4416;  372780,66;  23429,315;     0;  50201,953;   6233;
94;11;2019; 133271,45;  19813,204;  75972,026;  35138,900;  2347,3224;  351745,50;  56643,730;     0;  22297,756;   3962;
95;11;2019; 151950,09;  20261,348;  88242,484;  38728,492;  4717,7696;  486647,02;  60027,955;   339;  53308,738;   9391;
99;11;2019;1213731,28; 196888,100; 663200,210; 324119,038; 29523,9288; 3326757,65; 390671,385;  3753; 263388,976;  66266;
18;24;2019;  39318,18;  12722,746;  17518,242;   8130,010;   947,1856;  193350,51;  34902,725;     0;  29715,312;  10957;
28;24;2019;  66535,68;  14616,850;  32746,110;  17493,452;  1679,2640;  292344,69;  44428,410;   330;  41311,959;  17638;
36;24;2019;  29167,47;   9585,960;  12122,828;   6774,404;   684,2768;  148258,42;  26380,900;     0;  26355,857;   8750;
37;24;2019;  87691,69;  26415,780;  38633,994;  20643,410;  1998,5104;  319089,91;  44606,705;   188;  46523,444;  16786;
41;24;2019;  49162,31;  14359,256;  22643,704;  10467,744;  1691,6024;  202530,84;  34065,330;   710;  29907,278;  17129;
45;24;2019; 101188,56;  17736,912;  53863,194;  25321,616;  4266,8360;  455291,77; 126848,865;  1333;  90693,191;  23086;
99;24;2019; 373063,89;  95437,504; 177528,072;  88830,636; 11267,6752; 1610866,14; 311232,935;  2561; 264507,041;  94346;
21;27;2019;  87130,97;  20792,964;  43120,540;  19889,276;  3328,1864;  349181,30;  60348,210;  3567;  52998,786;  12378;
25;27;2019;  82585,00;  36044,882;  29317,690;  15471,846;  1750,5784;  338815,53;  98974,005;   746;  35807,973;  21639;
39;27;2019;  41439,48;  14637,718;  18473,730;   7037,548;  1290,4880;  182108,91;  44999,630;  1203;  18382,692;  12611;
58;27;2019;  29684,40;  12198,012;  10253,884;   6174,116;  1058,3864;  118880,54;  25927,980;   983;  27719,411;   8289;
70;27;2019;  26362,67;   9622,294;  11467,336;   4902,500;   370,5400;  146984,55;  38537,070;  1912;  21572,893;  13552;
71;27;2019;  87687,51;  31054,174;  37814,592;  17146,466;  1672,2800;  408191,92;  64500,540;  1219;  47558,427;  14368;
89;27;2019;  50871,79;  14453,384;  23500,032;  11842,220;  1076,1568;  217299,73;  37136,060;   977;  28140,919;  13433;
90;27;2019;  21456,62;   7658,334;   9352,934;   3929,696;   515,6520;   54345,81;  12481,495;  1017;   4032,883;   3309;
99;27;2019; 427218,44; 146461,762; 183300,738;  86393,668; 11062,2680; 1815808,28; 382904,990; 11624; 236213,985;  99579;
14;28;2019; 108967,26;  38466,828;  45384,200;  22874,214;  2242,0192;  422817,45;  70421,455;  3186;  79374,432;  24374;
27;28;2019;  81528,91;  20745,530;  36397,196;  20932,676;  3453,5104;  343618,36;  57556,330;  1627;  45364,882;  21916;
50;28;2019;  67282,49;  28048,220;  24551,128;  12743,836;  1939,3016;  297241,55;  70571,020; 14376;  64202,565;  19622;
61;28;2019;  30319,95;  13348,268;   9588,698;   6100,486;  1282,4952;  165690,64;  44692,895;  1396;  38502,101;  16906;
76;28;2019; 156328,82;  45528,056;  69429,834;  35788,694;  5582,2336;  667711,01;  83959,200;  4444;  95371,279;  25462;
99;28;2019; 444427,42; 146136,902; 185351,056;  98439,906; 14499,5600; 1897079,00; 327200,900; 25029; 322815,258; 108280;
2;32;2019;  59078,69;  17108,430;  25567,592;  12558,984;  3843,6832;  292410,57;  57541,120;  2055;  47871,218;  15616;
59;32;2019; 236024,09;  42999,772; 125351,338;  51746,202; 15926,7792;  962169,00; 179352,095;  2456; 179563,911;  29123;
60;32;2019; 102216,35;  31570,842;  45483,656;  21154,898;  4006,9536;  427399,18;  62112,570;    25;  50318,770;  24684;
62;32;2019; 160370,32;  37308,284;  76034,038;  39565,210;  7462,7920;  863945,11;  86079,305;  1302; 111891,837;  24340;
80;32;2019;  69818,00;  10852,692;  39042,770;  16083,900;  3838,6392;  346438,16;  62904,335;  2835;  61065,136;  17533;
99;32;2019; 627507,46; 139840,020; 311479,394; 141109,194; 35078,8472; 2892362,01; 447989,425;  8673; 450710,872; 111296;
